objectid,filename,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,image_small,image_thumb
poster_exno_08,poster_exno_08.jpg,Conforming and protesting prisoners,2023,,Educator,,"As I began to explore the PMA and the other archival materials, the brochure published by the Northern Ireland Office in 1980 titled “H-blocks - The facts” caught my interest. On the last page it outlined this distinction between conforming prisoners and protesting prisoners, which really stood out to me. I found it very interesting to see and discover how they were both treated differently within the prison. I wanted to visualise on my poster that protesting prisoners had a clear message and demands they communicated, hence the speech bubble on the first page. At the same time they knew how different the rules and regulations would be for them, once they had joined the protest.",,,,,,,,The following archive resources have been re-used: Quotes from the PMA recordings from Brendan Hurson (D4616/2/1/35/1) and Pat Sheehan (D4616/2/1/42/1),https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 08",poster_exno_08,"Quotes from D4616/2/1/35/1, D4616/2/1/42/1 and NIO/2/1 reproduced with permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_09,poster_exno_09.jpg,Let's go Maze,2023,,Creative Storyteller,,I was looking into the brochures and it just struck me how the Northern Ireland Office were trying to make prison life look very positive in their publications. Which is obviously not what the reality was like. I was looking for an ad template and then really built up the farce of what had been published in these brochures. The words that I've taken are partially compiled from either witness testimonies or from the brochures themselves. In my poster I wanted to expose how positive the NIO wrote about things like the prison uniforms. I wanted to include Rev William’s video clip as he talks about how beautiful the chapel was but that it remained closed most of the time and was more of a PR exercise.,,,,,,,,"The following archive resources have been re-used: PMA Recording from Rev William Murphy (D4616/2/1/25/1) Photographs: INF/7/A/8/36-37, INF/7/A/8/21, INF/7/A/8/19, NIO/2/1",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 09",poster_exno_09,"D4616/2/1/25/1, INF/7/A/8/36-37, INF/7/A/8/21, INF/7/A/8/19 and NIO/2/1 reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_10,poster_exno_10.jpg,The Maze,2023,,Volunteer Curator,,"I was inspired by one of videos, where two  teachers describe their experience of coming into the prison. They said the scariest part of being in the prisons was actually getting to the prison. They didn't know what way to go and they felt kind of lost, and when I saw those words, the name  - maze - itself resonated with me. I used a blueprint or rather map of the h-blocks and overlayed it with the picture of a maze. I also included the photograph of a person modelling prison clothes for a publication by the Northern Ireland Office from 1980. However I chose to show it with a rip through it as prisoners might have felt ripped out of their lives.",,,,,,,,"The following archive resources have been re-used: PMA recording from Jenny Meegan and 
Pat Jess (D4616/2/1/1/1), Photograph: INF/7/A/8/36, Other: HMP_7_6_12_1A_001_P",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 10",poster_exno_10,"INF/7/A/8/36 and HMP_7_6_12_1A_001_P reproduced with the permission of the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_11,poster_exno_11.jpg,Typical working day,2023,,Postgraduate Student,,"My idea for the poster stems from a discussion we had during the workshop about the routine, and if that was an accurate representation of the “lifestyle” within the Maze Prison. When I read the brochure from the Northern Ireland Office it looked a lot like a school schedule to me. When you are in prison you are confined to a routine set by other people. It was good to hear from ex-prisoners themselves to see how different the reality was. I wanted to expose what the NIO had published with my poster.",,,,,,,,The following archive resources have been quoted: The National Archive UK - PREM 19/503 (Brochure from the Northern Ireland Office 1981 - “Day to day life in Northern Ireland prisons”),https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 11",poster_exno_11,,https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_12,poster_exno_12.jpg,Smuggled in,2023,,Actor,,"The story that gripped me was the one about the protesters at Armagh Gaol.  If they went to the B-wing, they were only allowed 30 minutes of visitation rights a month. This is a very small amount of time and I wondered how that affected the prisoners and their families emotionally. There was a short video from Angela where she is talking about smuggling alcohol into the prisons in balloons. This image stood out to me because the idea of women smuggling balloons filled with alcohol by putting them down their tops made me laugh a little. It also shows that among all the darkness of the stories that can come with prison memories their can be funny - or rather dark humor - elements. That is something I wanted to convey with my poster, hopefully without being disrespectful. ",,,,,,,,"The following archive resources have been re-used: PMA recordings from Angela Nelson (D4616/2/1/89/1) and Gerard Murray (D4616/2/1/6/1), Other: NIO/12/464A p.102-104",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 12",poster_exno_12,"NIO/12/464A reproduced with the permission of the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_13,poster_exno_13.jpg,What would you do?,2023,,Postgraduate Student,,"I watched the video from Gerard, where he is talking about being visited in prison, and I immediately started asking myself ‘What would I do?’ in his place. This became the main focus of my poster, to put the viewers themselves into a prisoner’s shoes. Gerard shares in his video how different the atmosphere of a visit was, depending on the visitors being either family members or one of his mates. I wanted to visualise this contrast in my poster using different quotes from the video. Additionally I wanted to highlight the 30 minutes time frame of a visit. Which is time that you could not waste as it was so precious.",,,,,,,,The following archive resources have been re-used: PMA recording from Gerard Murray (D4616/2/1/6/1),https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 13",poster_exno_13,"Still from D4616/2/1/6/1 reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland. Still from visitaion area reproduced with permission of Cahal McLaughlin",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_14,poster_exno_14.mp4,Separated Parenting,2023,,Sound Artist,,"I was thinking of parenthood on the outside and inside. Listening to the video from Vincent I wanted to give a bit more insight into thinking of fairness. I thought of the difficulties of providing a natural environment for children during visits. It also considers the negotiations that took place, and how different groups agreed on things even if they had their divisions. While creating my poster I wanted to respect the people who have shared their stories. At the same time I wanted to create links from what was said and archived to a newer narrative and bring light to some stories that have not had public attention yet.",,,,,,,,"The following archive resources have been re-used: PMA Recording from Vincent Bent (D4616/2/1/13/1), Photographs: D4616/3/2/48, D4616/3/2/50, Other: NIO/12/464A",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 14",poster_exno_14,"D4616/2/1/13/1, D4616/3/2/48, D4616/3/2/50 and NIO/12/464A reproduced with the permission of the Prison Memory Archive, Cahal McLaughlin and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,video 14/mp4,eng,,,,,exno_14_thumbnail.jpg
poster_exno_15,poster_exno_15.jpg,Family visits,2023,,Postgraduate Student,,"I started watching the clips about family visits and focused on the questions that arose for me from it - these are in the middle of the poster. I selected quotes from different PMA videos that mentioned the difficulty of prison visits from various perspectives. I wanted them to represent the reality of the situation for people. This idea of whether you could have a normal time in such a difficult space. I kept thinking about the visits being very regulated and regimented. When it was really just time with your family which is not normally regulated or regimented for most people. I tried to make the poster playful, almost looking like a child’s drawing. I wanted to contrast these silly fonts and bright colours with the probably very traumatic reality that it is was for a lot of families.",,,,,,,,"The following archive resources have been re-used: PMA recordings from Angela Nelson (D4616/2/1/89/1) and Gerard Murray (D4616/2/1/6/1); Photographs: D4616/3/2/48, D4616/3/2/50, D4616/3/2/35",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 15",poster_exno_15,"Quotes from D4616/2/1/89/1 and D4616/2/1/6/1, as well as photographs D4616/3/2/48, D4616/3/2/50, D4616/3/2/35 reproduced with the permission of the Prisons Memory Archive, Cahal McLaughlin and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_16,poster_exno_16.jpg,Bureaucracy of visits,2023,,Postgraduate Student,,In my poster I wanted to highlight two different things. First the amount of bureaucracy that was involved in prisons visits. This turned something as simple as meeting your family into a big and difficult task that depended on filling out forms and official procedures. The second thing that struck me was the difference that the prisoners described when they were meeting their family or their friends. And how emotionally difficult it was for both the prisoner inside and the family members to see each other under these circumstances. I wanted to include the stories that Angela and Gerard shared on my poster because it shows how difficult choices around the prison visits for prisoners must have been.,,,,,,,,"The following archive resources have been re-used: PMA recordings from Angela Nelson (D4616/2/1/89/1) and Gerard Murray (D4616/2/1/6/1), Other: NIO/12/464A",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 16",poster_exno_16,"Stills and quotes from D4616/2/1/89/1, D4616/2/1/6/1 and NIO/12/464A reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_17,poster_exno_17.mp4,Flame and Fantasy,2023,,Creative Writer,,"This scene took shape for me as we were going through the different images: the forms; the basketball court; and the visits.
It was also inspired as I read a little around the fire and riot in Newry. The idea was of a prisoner at a desk, just drawing, and then getting approached by the slightly revolutionary character who wants them to view education the same way that he sees it viewed by 'the other side'.",,,,,,,,This short story was inspired by different PMA extracts.,,"Poster, Exhibition Number 17",poster_exno_17,"Copyright remains with researcher K.Bock",https://rightsstatements.org/page/InC/1.0/?language=en,Short Story Poster,video 17/mp4,eng,,,,,
